WARD_NO,date,Temperature_Mean
182,4/1/2001,298.5021973
146,4/1/2001,298.5021973
147,4/1/2001,298.5021973
148,4/1/2001,298.5021973
151,4/1/2001,298.5021973
152,4/1/2001,298.5021973
178,4/1/2001,298.5021973
173,4/1/2001,298.5021973
176,4/1/2001,298.5021973
2,7/1/2001,296.0489807
3,7/1/2001,296.0489807
4,7/1/2001,296.0489807
51,7/1/2001,296.0542638
53,7/1/2001,296.0496289
54,7/1/2001,296.0862958
55,7/1/2001,296.0943321
56,7/1/2001,296.1732113
81,7/1/2001,296.1775208
87,7/1/2001,296.1775208
10,7/1/2001,296.0489807
11,7/1/2001,296.0489807
5,7/1/2001,296.0489807
6,7/1/2001,296.0489807
7,7/1/2001,296.0489807
8,7/1/2001,296.0489807
9,7/1/2001,296.0489807
130,7/1/2001,296.4269008
159,7/1/2001,296.4269104
40,7/1/2001,296.3409864
72,7/1/2001,296.4242446
16,7/1/2001,296.0489807
160,7/1/2001,296.1775208
17,7/1/2001,296.0489807
37,7/1/2001,296.0489807
38,7/1/2001,296.0489807
42,7/1/2001,296.0489807
69,7/1/2001,296.0490809
73,7/1/2001,296.1723139
12,7/1/2001,296.0503249
13,7/1/2001,296.0489807
14,7/1/2001,296.1913168
15,7/1/2001,296.0489807
39,7/1/2001,296.1109059
41,7/1/2001,296.0877483
70,7/1/2001,296.0621254
71,7/1/2001,296.1892134
102,7/1/2001,296.1775208
43,7/1/2001,296.0489807
44,7/1/2001,296.0489807
67,7/1/2001,296.0703248
68,7/1/2001,296.0489807
74,7/1/2001,296.1775208
75,7/1/2001,296.1144108
35,7/1/2001,296.0579704
36,7/1/2001,296.0489807
45,7/1/2001,296.0489807
64,7/1/2001,296.0816526
65,7/1/2001,296.0792767
66,7/1/2001,296.0489807
76,7/1/2001,296.155192
18,7/1/2001,296.0489807
19,7/1/2001,296.0489807
20,7/1/2001,296.0489807
21,7/1/2001,296.0489807
22,7/1/2001,296.0489807
33,7/1/2001,296.0489807
34,7/1/2001,296.0489807
46,7/1/2001,296.0489807
31,7/1/2001,296.0489807
32,7/1/2001,296.0489807
47,7/1/2001,296.0489807
48,7/1/2001,296.0489807
60,7/1/2001,296.0489807
61,7/1/2001,296.0582359
78,7/1/2001,296.1629862
23,7/1/2001,296.0489807
168,7/1/2001,296.1775208
169,7/1/2001,296.1775208
179,7/1/2001,296.1775208
149,7/1/2001,296.1868887
150,7/1/2001,296.1775208
82,7/1/2001,296.1775208
83,7/1/2001,296.1983306
84,7/1/2001,296.1953296
85,7/1/2001,296.1775208
174,7/1/2001,296.1775208
175,7/1/2001,296.1775208
186,7/1/2001,296.1775208
187,7/1/2001,296.1775208
188,7/1/2001,296.1775208
189,7/1/2001,296.1775208
190,7/1/2001,296.1775208
191,7/1/2001,296.1775208
193,7/1/2001,296.1775208
184,7/1/2001,296.1775208
185,7/1/2001,296.1775208
192,7/1/2001,296.1775208
194,7/1/2001,296.1775208
195,7/1/2001,296.1775208
196,7/1/2001,296.1775208
1,7/1/2001,296.0489807
52,7/1/2001,296.0489807
129,7/1/2001,296.2691369
170,7/1/2001,296.1775208
171,7/1/2001,296.1775208
183,7/1/2001,296.1775208
197,7/1/2001,296.1775208
177,7/1/2001,296.1775208
172,7/1/2001,296.1775208
26,7/1/2001,296.0489807
25,7/1/2001,296.0489807
86,7/1/2001,296.1775208
198,7/1/2001,296.290014
24,7/1/2001,296.0489807
27,7/1/2001,296.0489807
28,7/1/2001,296.0489807
29,7/1/2001,296.0489807
30,7/1/2001,296.0489807
49,7/1/2001,296.0489807
59,7/1/2001,296.1160688
113,7/1/2001,296.1775208
50,7/1/2001,296.1159113
57,7/1/2001,296.1775208
58,7/1/2001,296.1775208
79,7/1/2001,296.1775208
80,7/1/2001,296.1775208
88,7/1/2001,296.1775208
110,7/1/2001,296.1775208
62,7/1/2001,296.0489807
63,7/1/2001,296.1560038
90,7/1/2001,296.1775208
91,7/1/2001,296.1775208
92,7/1/2001,296.1775208
93,7/1/2001,296.1775208
111,7/1/2001,296.1775208
112,7/1/2001,296.1775208
114,7/1/2001,296.1775208
115,7/1/2001,296.1775208
116,7/1/2001,296.1775208
117,7/1/2001,296.1775208
89,7/1/2001,296.1775208
109,7/1/2001,296.1775208
120,7/1/2001,296.1775208
121,7/1/2001,296.1775208
77,7/1/2001,296.1665853
94,7/1/2001,296.1775208
95,7/1/2001,296.1775208
96,7/1/2001,296.1775208
100,7/1/2001,296.1775208
101,7/1/2001,296.1775208
107,7/1/2001,296.1775208
108,7/1/2001,296.1775208
97,7/1/2001,296.1775208
98,7/1/2001,296.1775208
99,7/1/2001,296.1775208
103,7/1/2001,296.1775208
104,7/1/2001,296.1775208
105,7/1/2001,296.1775208
106,7/1/2001,296.1775208
125,7/1/2001,296.1775208
126,7/1/2001,296.1775208
127,7/1/2001,296.1775208
128,7/1/2001,296.1775208
131,7/1/2001,296.1775208
122,7/1/2001,296.1775208
123,7/1/2001,296.1775208
124,7/1/2001,296.1775208
132,7/1/2001,296.1775208
133,7/1/2001,296.1775208
134,7/1/2001,296.1775208
157,7/1/2001,296.1775208
158,7/1/2001,296.1775208
135,7/1/2001,296.1775208
136,7/1/2001,296.1775208
137,7/1/2001,296.1775208
138,7/1/2001,296.1775208
139,7/1/2001,296.1775208
140,7/1/2001,296.1775208
141,7/1/2001,296.1775208
118,7/1/2001,296.1775208
119,7/1/2001,296.1775208
142,7/1/2001,296.1775208
143,7/1/2001,296.1775208
144,7/1/2001,296.1775208
145,7/1/2001,296.1775208
153,7/1/2001,296.1775208
155,7/1/2001,296.1775208
156,7/1/2001,296.1775208
154,7/1/2001,296.1775208
162,7/1/2001,296.1775208
163,7/1/2001,296.1775208
164,7/1/2001,296.1775208
161,7/1/2001,296.1775208
165,7/1/2001,296.1775208
166,7/1/2001,296.1775208
167,7/1/2001,296.1775208
180,7/1/2001,296.1775208
181,7/1/2001,296.1775208
182,7/1/2001,296.1775208
146,7/1/2001,296.1775208
147,7/1/2001,296.1775208
148,7/1/2001,296.1775208
151,7/1/2001,296.1775208
152,7/1/2001,296.1775208
178,7/1/2001,296.1775208
173,7/1/2001,296.1775208
176,7/1/2001,296.1775208
2,10/1/2001,294.4970703
3,10/1/2001,294.4970703
4,10/1/2001,294.4970703
51,10/1/2001,294.5081821
53,10/1/2001,294.4984337
54,10/1/2001,294.5420078
55,10/1/2001,294.5924569
56,10/1/2001,294.7583617
81,10/1/2001,294.7674255
