DISPLAY_NA,WARD_NAME,WARD_NO,date,EVI_mean,NDVI_mean
"25/6, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru",Hoysala Nagar,80,7/1/2010,1933.887258,2793.808364
"Pavan Enclave, 16th B Main Road, HAL 2nd Stage, Kodihalli, Bengaluru",Jeevanbhima Nagar,88,7/1/2010,1913.988313,2873.741477
"0 Doctor Ambedkar Veedhi, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru",Sampangiram Nagar,110,7/1/2010,1980.773504,2880.693842
"0 3rd Cross Road, Munimarappa Garden, J.C.Nagar, Bengaluru",Ramaswamy Palya,62,7/1/2010,2246.610827,3203.467922
"1st Cross Road, Nandi Durga Road Extension, Jayamahal, Bengaluru",Jayamahal,63,7/1/2010,1992.380453,2934.309337
"Kensington Road, Ulsoor, Bengaluru",Halsoor,90,7/1/2010,1698.689727,2582.772242
"0 Fruit Street Road, 1st Block, Bharati Nagar, Shivaji Nagar, Bengaluru",Bharathi Nagar,91,7/1/2010,1454.990871,2153.994199
"Barkat Manzil, Sulthangunta, Shivaji Nagar, Bengaluru",Shivaji Nagar,92,7/1/2010,1222.567229,1779.470018
"0 Sankey Road, Abshot Layout, Vasanth Nagar, Bengaluru",Vasanth Nagar,93,7/1/2010,2117.068883,2906.091123
"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",Shantala Nagar,111,7/1/2010,1786.591294,2742.200973
"0 12th Cross Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru",Domlur,112,7/1/2010,1938.964949,2916.267397
"Intermediate Ring Road, Ejipura, Bengaluru",Agaram,114,7/1/2010,2781.472461,3868.259721
"100 Lower Agaram Road, Rose Garden, Vannarpet Layout, Viveka Nagar, Bengaluru",Vannarpet,115,7/1/2010,2196.392748,3172.474068
"Rose Garden 7th A Cross, Rose Garden, Richard Xavier's colony, Neelasandra, Bengaluru",Nilasandra,116,7/1/2010,2059.412588,2950.902981
"0 Hosur Road, Langford Town, Shanti Nagar, Bengaluru",Shanthi Nagar,117,7/1/2010,1928.072628,2900.395842
"0 4th Main Road, Lingayana Palya, Jogupalya, Bengaluru",Jogupalya,89,7/1/2010,1856.72584,2743.425235
"0 DK Lane, Anchepet, Chickpet, Bengaluru",Chickpete,109,7/1/2010,1335.566872,1856.454895
"200 12th Main Road, Keshava Nagar, Binnipete, Bengaluru",Cottonpete,120,7/1/2010,1345.851439,1930.432083
"0 5th A Cross Road, Mariyappanapalya, Binnipete, Bengaluru",Binnipete,121,7/1/2010,1366.815887,1896.946323
"U/65/1, Malleshwaram West, Bengaluru",Dattatreya Temple,77,7/1/2010,1435.445535,1989.42693
"24, RK Puram, Gandhi Nagar, Bengaluru",Gandhinagar,94,7/1/2010,1727.687307,2364.776514
"Bangalore City Junction Railway, M.G. Railway Colony, Sevashrama, Bengaluru",Subhash Nagar,95,7/1/2010,1575.833928,2284.865731
"0 3rd Cross Road, 4N Block, Ramchandrapuram, Srirampura, Bengaluru",Okalipuram,96,7/1/2010,1477.899665,2056.102924
"22/A, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru",Basaveshwara Nagar,100,7/1/2010,1471.061362,1833.513879
"0 4th Main Road, KHB Colony, Basaveshwar Nagar, Bengaluru",Kamakshipalya,101,7/1/2010,1618.826642,2230.453844
"Umamaheshwara Niwas, Bovi Colony, Basaveshwar Nagar, Bengaluru",Shivanagara,107,7/1/2010,1483.427335,1886.599945
"0 6th Cross Road, 4th M Block, Manjunath Nagar, Rajaji Nagar, Bengaluru",Sriramamandir,108,7/1/2010,1470.457876,2069.901093
"1400 6th Cross Road, Bashyam Nagar, Dayananda Nagar, Rajaji Nagar, Bengaluru",Dayananda Nagar,97,7/1/2010,1397.259022,1957.006866
"G/10, Mariappanapalya, Rajaji Nagar, Bengaluru",Prakash Nagar,98,7/1/2010,1366.329124,1833.73846
