DISPLAY_NA,WARD_NAME,WARD_NO,date,mean
"0 4th Cross Road, Telecom Colony, Srinagar, Banashankari, Bengaluru",Gali Anjenaya Temple ward,157,01/01/00,228.5792856
"300 Mysore Road, Muthachari Industrial Estate, Deepanjali Nagar, Bengaluru",Deepanjali Nagar,158,01/01/00,72.99831307
"0 11th C Cross Road, Vinayaka Nagar, Padarayana Pura, Bengaluru",Padarayanapura,135,01/01/00,222.9240312
"0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru",Jagajivanaramnagar,136,01/01/00,211.7961854
"0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru",Rayapuram,137,01/01/00,204.9898546
"100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru",Chalavadipalya,138,01/01/00,253.2013226
"0 2nd Main Road, New Tharagupet, Bengaluru",K R Market,139,01/01/00,276.7476355
"100 7th Cross Road, Chamrajpet, Bengaluru",Chamrajapet,140,01/01/00,240.2289871
"165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru",Azad Nagar,141,01/01/00,227.4392782
"3rd Cross Road, Sampangi Rama Nagar, Bengaluru",Sudham Nagara,118,01/01/00,283.1952299
"59, Kalasipalyam New Extension, Kalasipalya, Bengaluru",Dharmaraya Swamy Temple,119,01/01/00,276.7043228
"Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru",Sunkenahalli,142,01/01/00,244.4196347
"0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru",Vishveshwara Puram,143,01/01/00,209.1399954
"Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru",Siddapura,144,01/01/00,121.4545148
"0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru",Hombegowda Nagara,145,01/01/00,97.78613976
"Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru",Jayanagar,153,01/01/00,94.80150554
"Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru",Hanumanth Nagar,155,01/01/00,221.9631362
"12, Srinagar, Banashankari, Bengaluru",Srinagar,156,01/01/00,263.2911826
"0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru",Basavanagudi,154,01/01/00,192.1829318
"Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru",Girinagar,162,01/01/00,151.140588
"0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru",Katriguppe,163,01/01/00,83.62649071
"6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru",Vidyapeeta ward,164,01/01/00,137.2766651
"Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru",Hosakerehalli,161,01/01/00,7.550584281
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru",Ganesh Mandir ward,165,01/01/00,11.70586053
"300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru",Karisandra,166,01/01/00,12.20982793
"30/2, Sakamma Garden, Jayanagar, Bengaluru",Yediyur,167,01/01/00,63.98356505
"200 4th Cross Road, Umarbagh Layout, Banashankari, Bengaluru",Banashankari Temple ward,180,01/01/00,11.262061
"1700 Vyasaraya Ballal Road, Kumaraswamy Layout I Stage, Bengaluru",Kumaraswamy Layout,181,01/01/00,9.280945511
"100 2nd Main Road, Rajathadri Kalayana Mantappa, Padmanabhanagar, Bengaluru",Padmanabha Nagar,182,01/01/00,9.270748377
"0 9th Cross Road, Rangadasapp Layout, Pukhraj Layout, Adugodi, Ad",Lakkasandra,146,01/01/00,10.31110423
"900 Adugodi Main Road, Audugodi Police Quarters, Adugodi, Bengaluru",Adugodi,147,01/01/00,6.915664412
"26, Gowda Muniswamy Garden, Ejipura, Bengaluru",Ejipura,148,01/01/00,83.75908424
"Prem Complex, Koramangala 3 Block, Koramangala, Bengaluru",Koramangala,151,01/01/00,8.745875043
"0 3rd Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, Bengaluru",Suddagunte Palya,152,01/01/00,9.128669583
"0 34th Main Road, 1st Phase, JP Nagar, Bengaluru",Sarakki,178,01/01/00,12.19794337
"0 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru",Jakkasandra,173,01/01/00,7.081014745
"1100 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru",BTM Layout,176,01/01/00,10.66179959
"Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru",Pattabhiram Nagar,168,01/01/00,12.22102584
"100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru",Byrasandra,169,01/01/00,11.42254226
"725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru",Shakambari Nagar,179,01/01/00,9.940198891
"State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru",Varthuru,149,01/01/00,0.781938791
"Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru",Bellanduru,150,01/01/00,1.215549708
"300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru",Garudachar Playa,82,01/01/00,3.124793034
"Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru",Kadugodi,83,01/01/00,4.329741564
"M4, Phase 1, Whitefield, Bengaluru",Hagadur,84,01/01/00,1.453314953
