STATE_UT,date,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature
ARUNACHAL PRADESH,10/1/2003,290.1346024,281.9524385,272.4089
ARUNACHAL PRADESH,1/1/2004,287.7009239,278.583562,268.57687
ARUNACHAL PRADESH,4/1/2004,293.9701991,286.9385155,279.51614
ARUNACHAL PRADESH,7/1/2004,296.0302744,290.1003925,285.7002
ARUNACHAL PRADESH,10/1/2004,289.6268302,280.8291543,270.54138
ARUNACHAL PRADESH,1/1/2005,287.1093476,278.7905322,269.89578
ARUNACHAL PRADESH,4/1/2005,293.9979231,286.6677286,279.41376
ARUNACHAL PRADESH,7/1/2005,296.9881446,290.5866271,286.07086
ARUNACHAL PRADESH,10/1/2005,290.1417668,281.853897,272.65732
ARUNACHAL PRADESH,1/1/2006,289.5135523,279.9303076,270.58023
ARUNACHAL PRADESH,4/1/2006,295.1854675,287.1305809,280.2223
ARUNACHAL PRADESH,7/1/2006,297.9035903,290.8782864,285.61124
ARUNACHAL PRADESH,10/1/2006,290.9445962,281.4347882,271.30615
ARUNACHAL PRADESH,1/1/2007,288.7686149,278.3189883,268.30728
ARUNACHAL PRADESH,4/1/2007,295.9015097,287.5810159,280.32428
ARUNACHAL PRADESH,7/1/2007,297.6260736,290.527165,285.1152
ARUNACHAL PRADESH,10/1/2007,291.8712174,282.1550473,272.29874
ARUNACHAL PRADESH,1/1/2008,287.3441053,278.0472068,267.79434
ARUNACHAL PRADESH,4/1/2008,294.6239418,287.4914989,281.14612
ARUNACHAL PRADESH,7/1/2008,297.3148017,290.3674993,285.96817
ARUNACHAL PRADESH,10/1/2008,291.7060527,281.9996892,272.2629
ARUNACHAL PRADESH,1/1/2009,289.1798466,279.6406866,269.26022
ARUNACHAL PRADESH,4/1/2009,295.505978,287.7216995,279.72522
ARUNACHAL PRADESH,7/1/2009,297.9155625,290.9393741,285.97296
ARUNACHAL PRADESH,10/1/2009,291.5409568,282.150567,272.40372
ARUNACHAL PRADESH,1/1/2010,289.0044782,279.0962351,269.14517
ARUNACHAL PRADESH,4/1/2010,294.5961601,287.4756667,281.18518
ARUNACHAL PRADESH,7/1/2010,296.8989461,290.7463781,286.52103
ARUNACHAL PRADESH,10/1/2010,290.8335882,282.3311109,273.35428
ARUNACHAL PRADESH,1/1/2011,287.3270981,278.3937074,268.0746
ARUNACHAL PRADESH,4/1/2011,295.6327712,287.494261,280.34412
ARUNACHAL PRADESH,7/1/2011,297.4720406,290.5993946,285.71866
ARUNACHAL PRADESH,10/1/2011,291.3757097,281.7991858,271.89365
ARUNACHAL PRADESH,1/1/2012,287.9797967,278.0973217,267.52533
ARUNACHAL PRADESH,4/1/2012,295.7768838,287.184784,279.7606
ARUNACHAL PRADESH,7/1/2012,297.2675087,290.5656762,286.29083
ARUNACHAL PRADESH,10/1/2012,290.8754331,281.4254191,271.39517
ARUNACHAL PRADESH,1/1/2013,289.5037926,279.2664356,269.3206
ARUNACHAL PRADESH,4/1/2013,296.3698836,287.5571082,280.7446
ARUNACHAL PRADESH,7/1/2013,297.8337495,290.8572561,286.28348
ARUNACHAL PRADESH,10/1/2013,291.6075217,281.4996096,270.91693
ARUNACHAL PRADESH,1/1/2014,288.9490574,278.8251401,268.50818
ARUNACHAL PRADESH,4/1/2014,296.2898687,287.5708402,280.64157
ARUNACHAL PRADESH,7/1/2014,297.6180892,290.665313,285.27182
ARUNACHAL PRADESH,10/1/2014,292.1353783,282.5221978,272.14944
ARUNACHAL PRADESH,1/1/2015,289.1624911,279.1634703,269.29358
ARUNACHAL PRADESH,4/1/2015,295.5145192,287.3236335,280.84766
ARUNACHAL PRADESH,7/1/2015,297.5988153,290.8645423,285.54037
ARUNACHAL PRADESH,10/1/2015,291.2767582,281.9935786,272.63663
ARUNACHAL PRADESH,1/1/2016,288.3779404,279.1348723,270.2108
ARUNACHAL PRADESH,4/1/2016,295.217144,287.7837516,280.1912
ARUNACHAL PRADESH,7/1/2016,297.3971296,291.1494379,286.49097
ARUNACHAL PRADESH,10/1/2016,293.3168562,283.7436799,274.14755
ARUNACHAL PRADESH,1/1/2017,290.2576592,279.4303926,269.8536
ARUNACHAL PRADESH,4/1/2017,295.6846229,287.8549946,280.04208
ARUNACHAL PRADESH,7/1/2017,298.5229449,291.3577711,286.8427
ARUNACHAL PRADESH,10/1/2017,292.332892,283.6503244,274.3286
ARUNACHAL PRADESH,1/1/2018,289.012535,279.7115712,270.71332
ARUNACHAL PRADESH,4/1/2018,295.2677847,287.7761457,280.54504
ARUNACHAL PRADESH,7/1/2018,298.033621,291.3499353,286.99503
ARUNACHAL PRADESH,10/1/2018,289.9244516,281.1029245,270.7971
ARUNACHAL PRADESH,1/1/2019,288.1743658,278.5613356,268.31824
ARUNACHAL PRADESH,4/1/2019,295.5141953,287.6070035,280.50125
ARUNACHAL PRADESH,7/1/2019,298.1953466,291.0864112,286.1399
ARUNACHAL PRADESH,10/1/2019,290.9819974,282.5107733,273.54514
ARUNACHAL PRADESH,1/1/2020,288.1641437,278.4663035,268.24634
ARUNACHAL PRADESH,4/1/2020,294.64745,286.6315674,279.95453
ASSAM,1/1/2000,300.6934049,291.0996202,283.40073
ASSAM,4/1/2000,306.8775237,298.6652974,293.30695
ASSAM,7/1/2000,306.1363818,299.9743335,296.18317
ASSAM,10/1/2000,301.9944362,293.9407011,286.22775
ASSAM,1/1/2001,301.6126142,292.0233833,283.5005
ASSAM,4/1/2001,306.8764247,298.7976166,292.8096
ASSAM,7/1/2001,306.4558189,300.644671,296.75946
ASSAM,10/1/2001,301.6194101,294.1190442,286.74008
ASSAM,1/1/2002,302.2292159,292.4988875,284.00125
ASSAM,4/1/2002,305.9433329,298.2681136,292.40204
ASSAM,7/1/2002,306.5602806,300.1100529,296.18384
ASSAM,10/1/2002,302.5823824,294.1116817,286.29138
ASSAM,1/1/2003,300.3059376,291.221786,283.0392
ASSAM,4/1/2003,306.0737432,298.3632337,292.84637
ASSAM,7/1/2003,307.0567512,300.5331418,296.9329
ASSAM,10/1/2003,301.411276,294.0907862,286.88376
ASSAM,1/1/2004,301.6276971,292.1210545,283.44525
ASSAM,4/1/2004,305.6898229,298.2482751,292.88925
ASSAM,7/1/2004,305.7287508,300.0071892,296.33533
ASSAM,10/1/2004,301.7601352,293.6336768,285.55112
ASSAM,1/1/2005,301.448982,292.0766504,284.7202
ASSAM,4/1/2005,305.1442456,298.3181591,292.56464
ASSAM,7/1/2005,307.1044135,300.7725001,296.87006
ASSAM,10/1/2005,302.2318158,294.0964713,286.38293
ASSAM,1/1/2006,303.2745585,292.8144888,284.83078
ASSAM,4/1/2006,307.3124144,298.7753787,292.84497
ASSAM,7/1/2006,308.2198204,301.0749933,296.88892
ASSAM,10/1/2006,302.5615785,294.1883413,285.83978
ASSAM,1/1/2007,302.6224797,291.5858206,283.23972
ASSAM,4/1/2007,307.0869542,298.890182,293.18344
ASSAM,7/1/2007,307.7321574,300.5008952,296.26935
ASSAM,10/1/2007,302.996958,294.2792484,286.36548
ASSAM,1/1/2008,301.2585845,291.367901,283.11877
ASSAM,4/1/2008,306.6423307,299.0019375,293.23544
ASSAM,7/1/2008,307.6416834,300.4111557,296.8024
ASSAM,10/1/2008,302.7814853,294.2543148,286.62286
ASSAM,1/1/2009,302.6214707,292.9431103,283.98383
ASSAM,4/1/2009,307.3765598,299.3653735,293.01733
ASSAM,7/1/2009,307.852428,300.9747702,296.78418
ASSAM,10/1/2009,303.3932042,294.3653991,286.17804
ASSAM,1/1/2010,302.9691833,292.3765759,284.13773
ASSAM,4/1/2010,305.6174459,298.4200904,293.17142
ASSAM,7/1/2010,306.6367713,300.6674798,297.2084
ASSAM,10/1/2010,302.8258218,294.5531138,286.83267
ASSAM,1/1/2011,301.6123898,291.7033981,283.35834
ASSAM,4/1/2011,306.6662767,299.0869719,293.4325
ASSAM,7/1/2011,307.4361083,300.707013,296.8887
ASSAM,10/1/2011,302.9845421,294.1564974,286.37698
ASSAM,1/1/2012,302.054191,291.8387604,282.69653
ASSAM,4/1/2012,307.4827951,298.6617001,292.21222
ASSAM,7/1/2012,307.4406167,300.6541515,297.00354
ASSAM,10/1/2012,302.3742957,293.5229868,285.4613
ASSAM,1/1/2013,303.4083555,292.5231305,283.45383
ASSAM,4/1/2013,308.2428481,299.2523866,293.1127
ASSAM,7/1/2013,307.2519343,300.8524866,296.9537
ASSAM,10/1/2013,302.8963192,293.7417175,285.76352
ASSAM,1/1/2014,302.4688657,291.9634497,283.32275
ASSAM,4/1/2014,308.268646,299.676876,293.4079
ASSAM,7/1/2014,307.0623484,300.6566669,296.37265
ASSAM,10/1/2014,303.712369,294.796643,286.49622
ASSAM,1/1/2015,302.8134292,292.9394587,284.0009
ASSAM,4/1/2015,306.8005672,298.4929879,293.1592
ASSAM,7/1/2015,307.8958105,300.8396362,296.61182
ASSAM,10/1/2015,302.5928722,294.3055211,286.0042
ASSAM,1/1/2016,302.166518,292.446906,285.00613
ASSAM,4/1/2016,306.4295795,298.9978358,293.58646
ASSAM,7/1/2016,307.1717219,301.1252798,297.06644
ASSAM,10/1/2016,304.2602346,295.3866511,287.34753
ASSAM,1/1/2017,302.351592,292.4999978,284.1268
ASSAM,4/1/2017,306.9950825,299.0948409,293.07632
ASSAM,7/1/2017,308.2260195,301.1863399,297.22754
ASSAM,10/1/2017,303.5855994,295.24661,287.3495
ASSAM,1/1/2018,301.3549441,292.3569888,284.70328
ASSAM,4/1/2018,307.1472752,299.1531387,293.60092
ASSAM,7/1/2018,308.4500805,301.3360493,297.5254
ASSAM,10/1/2018,302.6927037,293.8620065,286.04422
ASSAM,1/1/2019,302.4714469,292.2167309,283.37485
ASSAM,4/1/2019,307.616561,299.2116935,293.4669
ASSAM,7/1/2019,308.7990288,301.214215,296.7732
ASSAM,10/1/2019,302.7402893,294.598456,287.40884
ASSAM,1/1/2020,301.8929088,292.0679336,283.69492
ASSAM,4/1/2020,307.4064478,298.7382316,293.0209
BIHAR,1/1/2000,303.6851807,292.6590059,283.1798
BIHAR,4/1/2000,312.1869833,302.7272211,295.72937
BIHAR,7/1/2000,307.38033,301.3106589,297.2309
BIHAR,10/1/2000,304.325597,295.2924444,286.38837
BIHAR,1/1/2001,305.2892129,293.2857949,282.02493
BIHAR,4/1/2001,311.9952274,302.5667564,294.9432
BIHAR,7/1/2001,307.3180555,301.7528385,297.82565
BIHAR,10/1/2001,303.7455802,295.0642759,286.9629
BIHAR,1/1/2002,304.8464095,293.9504932,283.65564
BIHAR,4/1/2002,313.0059731,302.8224183,294.74924
BIHAR,7/1/2002,308.1604087,301.7238296,297.3529
BIHAR,10/1/2002,303.6659178,294.8778015,285.9815
BIHAR,1/1/2003,303.1505636,292.2796916,282.8188
BIHAR,4/1/2003,314.6739872,303.7602787,295.21454
BIHAR,7/1/2003,307.717836,301.8114202,297.91968
BIHAR,10/1/2003,303.3303323,294.3763519,285.48407
BIHAR,1/1/2004,305.9980889,293.5855877,282.9784
BIHAR,4/1/2004,313.8893316,303.3117145,294.93832
BIHAR,7/1/2004,307.8079947,301.6818641,297.75607
BIHAR,10/1/2004,303.2499361,294.5872811,285.4672
BIHAR,1/1/2005,305.0030584,294.3369885,284.78397
BIHAR,4/1/2005,316.0252024,304.4868937,295.02576
BIHAR,7/1/2005,308.2665772,301.9362987,297.80283
BIHAR,10/1/2005,303.367884,294.4574808,286.1602
BIHAR,1/1/2006,307.740049,294.8789947,284.71802
BIHAR,4/1/2006,313.5339714,303.2480173,294.96155
BIHAR,7/1/2006,307.6654252,301.7470592,297.48297
BIHAR,10/1/2006,304.1404554,295.3106115,286.0231
BIHAR,1/1/2007,305.4650769,293.0966795,283.39758
BIHAR,4/1/2007,315.4521316,303.8452791,296.01556
BIHAR,7/1/2007,308.2535821,301.5572736,297.3561
BIHAR,10/1/2007,303.5875315,294.9652711,286.43768
BIHAR,1/1/2008,305.6822256,293.5017469,283.05978
BIHAR,4/1/2008,313.8813535,303.1817348,295.17697
BIHAR,7/1/2008,307.5832783,301.5914382,297.43613
BIHAR,10/1/2008,304.2057662,295.4992614,287.0512
BIHAR,1/1/2009,305.8044872,294.7500633,284.42917
BIHAR,4/1/2009,315.4598074,304.3396793,295.45767
BIHAR,7/1/2009,308.4567073,302.1879018,298.05258
BIHAR,10/1/2009,304.3578782,294.8475598,284.9987
BIHAR,1/1/2010,306.2840105,294.2329955,284.5444
BIHAR,4/1/2010,316.0382332,305.0494931,296.60364
BIHAR,7/1/2010,308.3599117,302.2318304,297.90167
BIHAR,10/1/2010,304.2769295,295.4596091,285.54773
BIHAR,1/1/2011,304.9533724,293.2665163,282.87857
BIHAR,4/1/2011,312.5999002,302.7977427,294.77808
BIHAR,7/1/2011,307.8294128,301.7219675,297.4762
BIHAR,10/1/2011,303.8367251,294.7667442,285.41693
BIHAR,1/1/2012,305.317073,293.3409099,282.7475
BIHAR,4/1/2012,315.9318479,305.183985,295.9356
BIHAR,7/1/2012,308.3687228,301.9417054,297.91013
BIHAR,10/1/2012,303.7628007,293.9655507,284.57208
BIHAR,1/1/2013,305.2141491,293.2343034,282.66098
BIHAR,4/1/2013,313.0222248,303.1343701,294.89502
BIHAR,7/1/2013,307.9166849,302.1137557,298.0379
BIHAR,10/1/2013,303.3969975,294.369155,286.38715
BIHAR,1/1/2014,303.7219517,292.5169022,283.0705
BIHAR,4/1/2014,314.7190952,304.3088865,295.63058
