State,date,fire
Assam,2010-07-01,4.594449204518519
Assam,2010-10-01,4.767695585333332
Assam,2011-01-01,4.797626576555556
Assam,2011-04-01,4.680232906333332
Assam,2011-07-01,4.598021376666666
Assam,2011-10-01,4.839469640962962
Assam,2012-01-01,4.808938476333333
Assam,2012-04-01,4.646957755333333
Assam,2012-07-01,4.57784102774074
Assam,2012-10-01,4.810017508111111
Assam,2013-01-01,4.819415439592592
Assam,2013-04-01,4.663963595740739
Assam,2013-07-01,4.604687515999999
Assam,2013-10-01,4.796700336925926
Assam,2014-01-01,4.807537196851853
Assam,2014-04-01,4.71577840514815
Assam,2014-07-01,4.604625670481481
Assam,2014-10-01,4.828867289074075
Assam,2015-01-01,4.804284822518519
Assam,2015-04-01,4.645316910925927
Assam,2015-07-01,4.583139547925926
Assam,2015-10-01,4.825410071296297
Assam,2016-01-01,4.807937231814815
Assam,2016-04-01,4.6455740095925915
Assam,2016-07-01,4.593526436222223
Assam,2016-10-01,4.81819217125926
Assam,2017-01-01,4.806444113333334
Assam,2017-04-01,4.641012977518518
Assam,2017-07-01,4.551955017111111
Assam,2017-10-01,4.794795624222221
Assam,2018-01-01,4.817705560703705
Assam,2018-04-01,4.700379210962963
Assam,2018-07-01,4.6399357667037044
Assam,2018-10-01,4.809464607740741
Assam,2019-01-01,4.793366048592594
Assam,2019-04-01,4.703147619333333
Assam,2019-07-01,4.5894968899999995
Assam,2019-10-01,4.786074650444443
Bihar,2000-01-01,4.915950630526315
Bihar,2000-04-01,4.821611006552632
Bihar,2000-07-01,4.642166537131579
Bihar,2000-10-01,4.941539866078948
Bihar,2001-01-01,4.913502519473684
Bihar,2001-04-01,4.915549806815789
Bihar,2001-07-01,4.655904938105263
Bihar,2001-10-01,4.890125734157894
Bihar,2002-01-01,4.910155759973685
Bihar,2002-04-01,4.8700813835263155
Bihar,2002-07-01,4.678069420157895
Bihar,2002-10-01,4.915144792921052
Bihar,2003-01-01,4.906102346894737
Bihar,2003-04-01,4.868712588078948
Bihar,2003-07-01,4.688299837578946
Bihar,2003-10-01,4.866617965921054
Bihar,2004-01-01,4.901562869473685
Bihar,2004-04-01,4.848479027394738
Bihar,2004-10-01,4.919865662913042
Bihar,2005-01-01,4.8724301784736825
Bihar,2005-04-01,4.897171587842102
Bihar,2005-07-01,4.606509100578948
Bihar,2005-10-01,4.92298083568421
Bihar,2006-01-01,4.912003864894736
Bihar,2006-04-01,4.831197141052633
Bihar,2006-07-01,4.700946848315789
Bihar,2006-10-01,4.911895249657896
Bihar,2007-01-01,4.900291416789474
Bihar,2007-04-01,4.884138208657895
Bihar,2007-07-01,4.557710402078946
Bihar,2007-10-01,4.931371000026316
Bihar,2008-01-01,4.903092411342105
Bihar,2008-04-01,4.835270002421053
Bihar,2008-07-01,4.6258273063684205
Bihar,2008-10-01,4.932945551526315
Bihar,2009-01-01,4.928020258394736
Bihar,2009-04-01,4.8815023661315795
Bihar,2009-07-01,4.688682002657894
Bihar,2009-10-01,4.896975478368421
Bihar,2010-01-01,4.915544577473685
Bihar,2010-04-01,4.876120667447369
Bihar,2010-07-01,4.650510120684211
Bihar,2010-10-01,4.87770679886842
Bihar,2011-01-01,4.921336936657893
Bihar,2011-04-01,4.841360222578948
Bihar,2011-07-01,4.648919075394737
Bihar,2011-10-01,4.931158112578948
Bihar,2012-01-01,4.915906813710525
Bihar,2012-04-01,4.881859008394739
Bihar,2012-07-01,4.631777748368421
Bihar,2012-10-01,4.918700519868421
Bihar,2013-01-01,4.90288611105263
Bihar,2013-04-01,4.805633380157893
Bihar,2013-07-01,4.720553978526315
Bihar,2013-10-01,4.879568204184212
Bihar,2014-01-01,4.838197375394737
Bihar,2014-04-01,4.883778123921051
Bihar,2014-07-01,4.661320896026318
Bihar,2014-10-01,4.89304797994737
Bihar,2015-01-01,4.872367367000002
Bihar,2015-04-01,4.8561700890526325
Bihar,2015-07-01,4.707132262289473
Bihar,2015-10-01,4.935729641
Bihar,2016-01-01,4.908640306868421
Bihar,2016-04-01,4.872127337394737
Bihar,2016-07-01,4.603302131052632
Bihar,2016-10-01,4.92582306931579
Bihar,2017-01-01,4.929294917473683
Bihar,2017-04-01,4.900219882947368
Bihar,2017-07-01,4.657195574236843
Bihar,2017-10-01,4.917313827999998
Bihar,2018-01-01,4.907793028184213
Bihar,2018-04-01,4.893855367842105
Bihar,2018-07-01,4.662787220263158
Bihar,2018-10-01,4.920923015210528
Bihar,2019-01-01,4.894105983105264
Bihar,2019-04-01,4.8901509943684225
Bihar,2019-07-01,4.674725075368421
Bihar,2019-10-01,4.844081605552632
Chandigarh,2000-01-01,4.932666376
Chandigarh,2000-04-01,4.922215334
Chandigarh,2000-07-01,4.835983732
Chandigarh,2000-10-01,4.940368789
Chandigarh,2001-01-01,4.91498006
Chandigarh,2001-04-01,4.875460723
Chandigarh,2001-07-01,4.86833641
Chandigarh,2001-10-01,4.962929662
Chandigarh,2002-01-01,4.86060292
Chandigarh,2002-04-01,4.941868185
Chandigarh,2002-07-01,4.934757327
Chandigarh,2002-10-01,4.9596546980000005
Chandigarh,2003-01-01,4.859155875
Chandigarh,2003-04-01,4.951388122
Chandigarh,2003-07-01,4.814353478
Chandigarh,2003-10-01,4.937225736
Chandigarh,2004-01-01,4.897242433
Chandigarh,2004-04-01,4.924374879
Chandigarh,2004-10-01,4.897496868999999
Chandigarh,2005-01-01,4.839735465
Chandigarh,2005-04-01,4.958375812
Chandigarh,2005-07-01,4.817584858
Chandigarh,2005-10-01,4.956915381
Chandigarh,2006-01-01,4.878836012
Chandigarh,2006-04-01,4.950598998
Chandigarh,2006-07-01,4.833590548
Chandigarh,2006-10-01,4.95270813
Chandigarh,2007-01-01,4.874443775
Chandigarh,2007-04-01,4.929096546999999
Chandigarh,2007-07-01,4.88873409
Chandigarh,2007-10-01,4.941719648
Chandigarh,2008-01-01,4.906935651
Chandigarh,2008-04-01,4.904159067
Chandigarh,2008-07-01,4.819009927
Chandigarh,2008-10-01,4.938371482
Chandigarh,2009-01-01,4.892681434
Chandigarh,2009-04-01,4.96050502
Chandigarh,2009-07-01,4.889676439
Chandigarh,2009-10-01,4.924191284
Chandigarh,2010-01-01,4.908987734
Chandigarh,2010-04-01,4.943050016
Chandigarh,2010-07-01,4.803215815
Chandigarh,2010-10-01,4.938552673999999
Chandigarh,2011-01-01,4.878730613
Chandigarh,2011-04-01,4.887910937
Chandigarh,2011-07-01,4.8237899639999995
Chandigarh,2011-10-01,4.955142702
Chandigarh,2012-01-01,4.871199561
Chandigarh,2012-04-01,4.931984491000001
Chandigarh,2012-07-01,4.8052127
Chandigarh,2012-10-01,4.928322378
Chandigarh,2013-01-01,4.881337295
Chandigarh,2013-04-01,4.910081836
Chandigarh,2013-07-01,4.848647823
Chandigarh,2013-10-01,4.944358939
Chandigarh,2014-01-01,4.8326168869999995
Chandigarh,2014-04-01,4.965690314
Chandigarh,2014-07-01,4.89463035
Chandigarh,2014-10-01,4.9307998589999995
Chandigarh,2015-01-01,4.822405383
Chandigarh,2015-04-01,4.925409698
Chandigarh,2015-07-01,4.874978089
Chandigarh,2015-10-01,4.961704236
Chandigarh,2016-01-01,4.88537839
Chandigarh,2016-04-01,4.950257693999999
Chandigarh,2016-07-01,4.875498400000001
Chandigarh,2016-10-01,4.976212706
Chandigarh,2017-01-01,4.890053665
Chandigarh,2017-04-01,4.937604167
Chandigarh,2017-07-01,4.873222779
Chandigarh,2017-10-01,4.945426748
Chandigarh,2018-01-01,4.937080466
Chandigarh,2018-04-01,4.938594086
Chandigarh,2018-07-01,4.7379928069999995
Chandigarh,2018-10-01,4.945395479
Chandigarh,2019-01-01,4.821402668
Chandigarh,2019-04-01,4.93361598
Chandigarh,2019-07-01,4.890256086
Chandigarh,2019-10-01,4.8916394080000005
Chhattisgarh,2000-01-01,4.975612982833333
Chhattisgarh,2000-04-01,4.828508406444445
Chhattisgarh,2000-07-01,4.596348613
Chhattisgarh,2000-10-01,4.967043506611112
Chhattisgarh,2001-01-01,4.964322996666667
Chhattisgarh,2001-04-01,4.857672452499999
Chhattisgarh,2001-07-01,4.490492745611112
Chhattisgarh,2001-10-01,4.927267924833333
Chhattisgarh,2002-01-01,4.9705064625
Chhattisgarh,2002-04-01,4.873958713
Chhattisgarh,2002-07-01,4.566738267222223
Chhattisgarh,2002-10-01,4.939127627111111
Chhattisgarh,2003-01-01,4.9470642427777785
Chhattisgarh,2003-04-01,4.856995225
Chhattisgarh,2003-07-01,4.456063056555556
Chhattisgarh,2003-10-01,4.9051553054444454
Chhattisgarh,2004-01-01,4.968705924722221
Chhattisgarh,2004-04-01,4.845324639277778
Chhattisgarh,2004-10-01,4.954710264285715
Chhattisgarh,2005-01-01,4.932569318333332
Chhattisgarh,2005-04-01,4.849596901888889
Chhattisgarh,2005-07-01,4.516487327277778
Chhattisgarh,2005-10-01,4.924386002388889
Chhattisgarh,2006-01-01,4.953011171277778
Chhattisgarh,2006-04-01,4.8326758873888895
