ST_NM,date,aod
Chhattisgarh,7/1/2004,557.2555101
Chhattisgarh,10/1/2004,401.0447099
Chhattisgarh,1/1/2005,438.9538004
Chhattisgarh,4/1/2005,654.7967317
Chhattisgarh,7/1/2005,488.5256098
Chhattisgarh,10/1/2005,447.1633663
Chhattisgarh,1/1/2006,304.4801369
Chhattisgarh,4/1/2006,589.2530281
Chhattisgarh,7/1/2006,569.2352809
Chhattisgarh,10/1/2006,433.0171717
Chhattisgarh,1/1/2007,403.3620106
Chhattisgarh,4/1/2007,601.640234
Chhattisgarh,7/1/2007,600.6812135
Chhattisgarh,10/1/2007,450.5867327
Chhattisgarh,1/1/2008,445.3746377
Chhattisgarh,4/1/2008,644.5633797
Chhattisgarh,7/1/2008,726.993844
Chhattisgarh,10/1/2008,435.8281141
Chhattisgarh,1/1/2009,467.9331366
Chhattisgarh,4/1/2009,541.5789261
Chhattisgarh,7/1/2009,688.1837322
Chhattisgarh,10/1/2009,398.8894869
Chhattisgarh,1/1/2010,322.3959211
Chhattisgarh,4/1/2010,526.9150807
Chhattisgarh,7/1/2010,627.4879541
Chhattisgarh,10/1/2010,449.3309956
Chhattisgarh,1/1/2011,379.4075826
Chhattisgarh,4/1/2011,651.1172876
Chhattisgarh,7/1/2011,1003.852247
Chhattisgarh,10/1/2011,525.8312342
Chhattisgarh,1/1/2012,439.0476286
Chhattisgarh,4/1/2012,595.5250435
Chhattisgarh,7/1/2012,746.1672273
Chhattisgarh,10/1/2012,446.3527373
Chhattisgarh,1/1/2013,481.44631
Chhattisgarh,4/1/2013,727.5968016
Chhattisgarh,7/1/2013,643.5206674
Chhattisgarh,10/1/2013,490.8639076
Chhattisgarh,1/1/2014,584.5871613
Chhattisgarh,4/1/2014,724.3312124
Chhattisgarh,7/1/2014,671.0048057
Chhattisgarh,10/1/2014,551.2062794
Chhattisgarh,1/1/2015,445.4224379
Chhattisgarh,4/1/2015,670.4860652
Chhattisgarh,7/1/2015,897.287878
Chhattisgarh,10/1/2015,701.832701
Chhattisgarh,1/1/2016,463.9597076
Chhattisgarh,4/1/2016,593.7021094
Chhattisgarh,7/1/2016,623.9163226
Chhattisgarh,10/1/2016,493.3444523
Chhattisgarh,1/1/2017,536.7754653
Chhattisgarh,4/1/2017,701.0865883
Chhattisgarh,7/1/2017,659.2172183
Chhattisgarh,10/1/2017,573.3338615
Chhattisgarh,1/1/2018,449.9282601
Chhattisgarh,4/1/2018,651.7925397
Chhattisgarh,7/1/2018,670.7111747
Chhattisgarh,10/1/2018,513.9688554
Chhattisgarh,1/1/2019,527.442694
Chhattisgarh,4/1/2019,587.2872258
Chhattisgarh,7/1/2019,813.5076034
Chhattisgarh,10/1/2019,689.6062094
Dadara & Nagar Havelli,4/1/2000,507.8328506
Dadara & Nagar Havelli,7/1/2000,20
Dadara & Nagar Havelli,10/1/2000,398.3956465
Dadara & Nagar Havelli,1/1/2001,350.7285617
Dadara & Nagar Havelli,4/1/2001,530.2078814
Dadara & Nagar Havelli,10/1/2001,338.7744411
Dadara & Nagar Havelli,1/1/2002,353.1376678
Dadara & Nagar Havelli,4/1/2002,505.2115568
Dadara & Nagar Havelli,10/1/2002,373.0013199
Dadara & Nagar Havelli,1/1/2003,481.0162278
Dadara & Nagar Havelli,4/1/2003,523.6196806
Dadara & Nagar Havelli,7/1/2003,1115.420875
Dadara & Nagar Havelli,10/1/2003,357.7064714
Dadara & Nagar Havelli,1/1/2004,358.2170076
Dadara & Nagar Havelli,4/1/2004,534.5261341
Dadara & Nagar Havelli,10/1/2004,407.4138741
Dadara & Nagar Havelli,1/1/2005,340.0932981
Dadara & Nagar Havelli,4/1/2005,552.3922418
Dadara & Nagar Havelli,7/1/2005,1086.059534
Dadara & Nagar Havelli,10/1/2005,376.47549
Dadara & Nagar Havelli,1/1/2006,345.4800203
Dadara & Nagar Havelli,4/1/2006,460.8480059
Dadara & Nagar Havelli,7/1/2006,588.4880436
Dadara & Nagar Havelli,10/1/2006,469.0364619
Dadara & Nagar Havelli,1/1/2007,467.5250379
Dadara & Nagar Havelli,4/1/2007,527.8362681
Dadara & Nagar Havelli,7/1/2007,521.6560019
Dadara & Nagar Havelli,10/1/2007,416.9354936
Dadara & Nagar Havelli,1/1/2008,417.5067312
Dadara & Nagar Havelli,4/1/2008,558.5770193
Dadara & Nagar Havelli,7/1/2008,2201.145562
Dadara & Nagar Havelli,10/1/2008,415.1572813
Dadara & Nagar Havelli,1/1/2009,493.3777964
Dadara & Nagar Havelli,4/1/2009,588.6284933
Dadara & Nagar Havelli,10/1/2009,385.8320824
Dadara & Nagar Havelli,1/1/2010,515.785508
Dadara & Nagar Havelli,4/1/2010,435.0234953
Dadara & Nagar Havelli,10/1/2010,659.984798
Dadara & Nagar Havelli,1/1/2011,341.610325
Dadara & Nagar Havelli,4/1/2011,641.0627069
Dadara & Nagar Havelli,7/1/2011,2649.07693
Dadara & Nagar Havelli,10/1/2011,550.3931547
Dadara & Nagar Havelli,1/1/2012,365.5459593
Dadara & Nagar Havelli,4/1/2012,543.9379369
Dadara & Nagar Havelli,7/1/2012,2213.881585
Dadara & Nagar Havelli,10/1/2012,661.459649
Dadara & Nagar Havelli,1/1/2013,404.2070186
Dadara & Nagar Havelli,4/1/2013,505.7408434
Dadara & Nagar Havelli,10/1/2013,432.5360442
Dadara & Nagar Havelli,1/1/2014,564.9895218
Dadara & Nagar Havelli,4/1/2014,597.6676804
Dadara & Nagar Havelli,7/1/2014,563.5250098
Dadara & Nagar Havelli,10/1/2014,617.2809543
Dadara & Nagar Havelli,1/1/2015,451.508389
Dadara & Nagar Havelli,4/1/2015,657.9551583
Dadara & Nagar Havelli,10/1/2015,781.9188004
Dadara & Nagar Havelli,1/1/2016,412.714855
Dadara & Nagar Havelli,4/1/2016,455.9559679
Dadara & Nagar Havelli,10/1/2016,484.4314715
Dadara & Nagar Havelli,1/1/2017,482.998548
Dadara & Nagar Havelli,4/1/2017,499.3731043
Dadara & Nagar Havelli,7/1/2017,564.0668468
Dadara & Nagar Havelli,10/1/2017,583.4800025
Dadara & Nagar Havelli,1/1/2018,531.3463905
Dadara & Nagar Havelli,4/1/2018,564.1172976
Dadara & Nagar Havelli,10/1/2018,704.1000762
Dadara & Nagar Havelli,1/1/2019,448.7423585
Dadara & Nagar Havelli,4/1/2019,451.1982542
Dadara & Nagar Havelli,7/1/2019,342.253005
Dadara & Nagar Havelli,10/1/2019,552.9985187
Daman & Diu,4/1/2000,407.5519404
Daman & Diu,7/1/2000,333.8886203
Daman & Diu,10/1/2000,400.9513527
Daman & Diu,1/1/2001,345.1935824
Daman & Diu,4/1/2001,433.3347214
Daman & Diu,7/1/2001,20
Daman & Diu,10/1/2001,377.2393714
Daman & Diu,1/1/2002,372.0842745
Daman & Diu,4/1/2002,546.9177035
