date,Ward_No,mean
12/22/2019,22,-1.730780784
12/22/2019,23,-1.602450885
12/22/2019,24,-1.615172465
12/23/2019,12,-1.902131595
12/23/2019,13,-2.020611534
12/23/2019,14,-1.825367738
12/23/2019,15,-2.004837823
12/23/2019,16,-1.728988757
12/23/2019,17,-1.673381834
12/23/2019,18,-1.682521534
12/23/2019,19,-1.798526572
12/23/2019,20,-1.939884496
12/23/2019,21,-2.036086698
12/23/2019,1,-1.580331593
12/23/2019,2,-1.576250797
12/23/2019,3,-1.577007644
12/23/2019,4,-1.570829822
12/23/2019,5,-1.580365267
12/23/2019,6,-1.58833133
12/23/2019,7,-1.584622832
12/23/2019,8,-1.622324025
12/23/2019,9,-1.584770461
12/23/2019,10,-1.836647351
12/23/2019,11,-2.090326328
12/23/2019,22,-2.119813292
12/23/2019,23,-1.659229043
12/23/2019,24,-1.751472756
12/24/2019,12,-0.871396147
12/24/2019,13,-0.720595243
12/24/2019,14,-0.696305782
12/24/2019,15,-0.653817347
12/24/2019,16,-0.98880464
12/24/2019,17,-0.923803097
12/24/2019,18,-0.742392784
12/24/2019,19,-0.693597425
12/24/2019,20,-0.688431718
12/24/2019,21,-0.676016546
12/24/2019,1,-0.789324817
12/24/2019,2,-0.883883003
12/24/2019,3,-0.88587236
12/24/2019,4,-0.891741789
12/24/2019,5,-0.895085893
12/24/2019,6,-0.923744634
12/24/2019,7,-0.786891725
12/24/2019,8,-0.889101357
12/24/2019,9,-0.836412821
12/24/2019,10,-0.914235058
12/24/2019,11,-0.657375171
12/24/2019,22,-0.635005067
12/24/2019,23,-0.696435912
12/24/2019,24,-0.74578724
12/25/2019,12,-0.26059976
12/25/2019,13,-0.286952888
12/25/2019,14,-0.355765061
12/25/2019,15,-0.417804605
12/25/2019,16,-0.10485003
12/25/2019,17,-0.093776646
12/25/2019,18,-0.174775761
12/25/2019,19,-0.296046761
12/25/2019,20,-0.367198738
12/25/2019,21,-0.341988257
12/25/2019,1,-0.31536009
12/25/2019,2,-0.240253806
12/25/2019,3,-0.242429416
12/25/2019,4,-0.233730401
12/25/2019,5,-0.237919376
12/25/2019,6,-0.172326075
12/25/2019,7,-0.204846579
12/25/2019,8,-0.085165775
12/25/2019,9,-0.189887952
12/25/2019,10,-0.207052473
12/25/2019,11,-0.351638924
12/25/2019,22,-0.323072344
12/25/2019,23,-0.25404392
12/25/2019,24,-0.221043786
12/26/2019,12,-1.415489484
12/26/2019,13,-1.474565542
12/26/2019,14,-1.392117265
12/26/2019,15,-1.439050524
12/26/2019,16,-1.370635987
12/26/2019,17,-1.289927133
12/26/2019,18,-1.281984582
12/26/2019,19,-1.300101673
12/26/2019,20,-1.429010088
12/26/2019,21,-1.454448631
12/26/2019,1,-1.358570396
12/26/2019,2,-1.300279498
12/26/2019,3,-1.300289579
12/26/2019,4,-1.362325467
12/26/2019,5,-1.301715831
12/26/2019,6,-1.305590455
12/26/2019,7,-1.305357217
12/26/2019,8,-1.29705638
12/26/2019,9,-1.311772313
12/26/2019,10,-1.372600701
12/26/2019,11,-1.50943126
12/26/2019,22,-1.413656471
12/26/2019,23,-1.331216123
12/26/2019,24,-1.246490594
12/27/2019,12,-1.399294127
12/27/2019,13,-1.435778728
12/27/2019,14,-1.244202334
12/27/2019,15,-1.366771063
12/27/2019,16,-1.214397888
12/27/2019,17,-1.118589512
12/27/2019,18,-1.102035716
12/27/2019,19,-1.1467841
12/27/2019,20,-1.283467806
12/27/2019,21,-1.268416114
12/27/2019,1,-1.204682975
12/27/2019,2,-1.001157883
12/27/2019,3,-0.865938847
12/27/2019,4,-0.899082481
12/27/2019,5,-0.998467363
12/27/2019,6,-1.126252343
12/27/2019,7,-1.097765902
12/27/2019,8,-1.107709612
12/27/2019,9,-1.153858013
12/27/2019,10,-1.281775136
12/27/2019,11,-1.33866758
12/27/2019,22,-1.188415467
12/27/2019,23,-1.228449646
12/27/2019,24,-1.177758405
12/28/2019,12,-1.724411386
12/28/2019,13,-1.812738226
12/28/2019,14,-1.451697437
12/28/2019,15,-1.696466358
12/28/2019,16,-1.669199492
12/28/2019,17,-1.585137659
12/28/2019,18,-1.37947857
12/28/2019,19,-1.477902781
12/28/2019,20,-1.639026962
12/28/2019,21,-1.645163397
12/28/2019,1,-1.622395697
12/28/2019,2,-1.597247361
12/28/2019,3,-1.596429031
12/28/2019,4,-1.577611093
12/28/2019,5,-1.601520432
12/28/2019,6,-1.56714042
12/28/2019,7,-1.507500969
12/28/2019,8,-1.483753612
12/28/2019,9,-1.450624743
12/28/2019,10,-1.625369363
12/28/2019,11,-1.778718485
12/28/2019,22,-1.756262445
12/28/2019,23,-1.381527411
12/28/2019,24,-1.416918263
12/29/2019,12,-1.497977782
12/29/2019,13,-1.472651538
12/29/2019,14,-1.347312906
12/29/2019,15,-1.817213356
12/29/2019,16,-1.360443854
12/29/2019,17,-1.136877203
12/29/2019,18,-1.203230248
12/29/2019,19,-1.179826912
12/29/2019,20,-1.434682313
12/29/2019,21,-1.596274429
12/29/2019,1,-1.503281964
12/29/2019,2,-1.546102524
12/29/2019,3,-1.546102524
12/29/2019,4,-1.474395327
12/29/2019,5,-1.494470376
12/29/2019,6,-1.356589427
12/29/2019,7,-1.383535075
12/29/2019,8,-1.134427377
12/29/2019,9,-1.310058255
12/29/2019,10,-1.602454252
12/29/2019,11,-1.768044521
12/29/2019,22,-1.638996549
12/29/2019,23,-1.350610979
12/29/2019,24,-1.208971842
12/30/2019,12,-0.37084672
12/30/2019,13,-0.275173734
12/30/2019,14,-0.294314523
12/30/2019,15,-0.351430334
12/30/2019,16,-0.384430108
12/30/2019,17,-0.253100076
12/30/2019,18,-0.249088612
12/30/2019,19,-0.271633525
12/30/2019,20,-0.287168649
12/30/2019,21,-0.335514019
12/30/2019,1,-0.327148128
12/30/2019,2,-0.382506277
12/30/2019,3,-0.379685721
12/30/2019,4,-0.385670434
12/30/2019,5,-0.385031841
12/30/2019,6,-0.358307116
12/30/2019,7,-0.438159912
12/30/2019,8,-0.23750717
12/30/2019,9,-0.318179415
12/30/2019,10,-0.391960812
12/30/2019,11,-0.369132688
12/30/2019,22,-0.325345987
12/30/2019,23,-0.329337034
12/30/2019,24,-0.273427983
12/31/2019,12,-1.437371029
12/31/2019,13,-1.455509287
12/31/2019,14,-1.417209681
12/31/2019,15,-1.536190815
12/31/2019,16,-1.439817831
12/31/2019,17,-1.439464242
12/31/2019,18,-1.405891176
12/31/2019,19,-1.427037121
12/31/2019,20,-1.479146694
12/31/2019,21,-1.493408542
12/31/2019,1,-1.51736635
12/31/2019,2,-1.486567718
12/31/2019,3,-1.485341968
12/31/2019,4,-1.535622637
12/31/2019,5,-1.488338113
12/31/2019,6,-1.487193771
12/31/2019,7,-1.487065263
12/31/2019,8,-1.480303803
12/31/2019,9,-1.479813113
12/31/2019,10,-1.380599439
12/31/2019,11,-1.557401
12/31/2019,22,-1.542191779
12/31/2019,23,-1.41803803
12/31/2019,24,-1.402076887
1/1/2020,12,-1.755184451
1/1/2020,13,-1.811949751
1/1/2020,14,-1.694854226
1/1/2020,15,-1.823177061
1/1/2020,16,-1.746800672
1/1/2020,17,-1.70140043
1/1/2020,18,-1.532595061
1/1/2020,19,-1.586938973
