date,Ward_No,mean
8/14/2018,10,3.659685862
8/14/2018,11,3.677139786
8/14/2018,22,4.068809587
8/14/2018,23,3.428587126
8/14/2018,24,3.4796054539999997
8/15/2018,12,2.135653226
8/15/2018,13,2.087672649
8/15/2018,14,1.1159456490000002
8/15/2018,15,1.293045113
8/15/2018,16,1.9564657909999998
8/15/2018,17,1.709167497
8/15/2018,18,1.289638439
8/15/2018,19,1.000268278
8/15/2018,20,1.323437337
8/15/2018,21,1.442464221
8/15/2018,1,1.4416261190000002
8/15/2018,2,1.5549492319999998
8/15/2018,3,1.419493079
8/15/2018,4,1.414503349
8/15/2018,5,1.669779469
8/15/2018,6,1.760104174
8/15/2018,7,1.202842006
8/15/2018,8,1.6001105869999999
8/15/2018,9,1.592031327
8/15/2018,10,2.0260526580000002
8/15/2018,11,1.524657186
8/15/2018,22,1.6748355940000001
8/15/2018,23,1.194513085
8/15/2018,24,1.415367396
8/16/2018,12,0.047955850999999994
8/16/2018,13,0.009639037
8/16/2018,14,0.009323521999999999
8/16/2018,15,-0.025174855
8/16/2018,16,-0.073160469
8/16/2018,17,-0.078694554
8/16/2018,18,-0.066305937
8/16/2018,19,0.005109531
8/16/2018,20,0.014414602
8/16/2018,21,-0.010339269
8/16/2018,1,-0.089124825
8/16/2018,2,-0.097468908
8/16/2018,3,-0.082209154
8/16/2018,4,-0.079977162
8/16/2018,5,-0.09720571
8/16/2018,6,-0.110027493
8/16/2018,7,-0.083249395
8/16/2018,8,-0.10075397800000001
8/16/2018,9,-0.090798611
8/16/2018,10,-0.028598169
8/16/2018,11,-0.024434245
8/16/2018,22,-0.01881151
8/16/2018,23,-0.066579351
8/16/2018,24,-0.023766392999999997
8/17/2018,12,0.41022930799999996
8/17/2018,13,0.5931959370000001
8/17/2018,14,0.200511739
8/17/2018,15,0.793805726
8/17/2018,16,0.22037089999999998
8/17/2018,17,0.23053680399999998
8/17/2018,18,0.020369188
8/17/2018,19,0.167184375
8/17/2018,20,0.33684882899999996
8/17/2018,21,0.365449484
8/17/2018,1,0.656035766
8/17/2018,2,0.6380696889999999
8/17/2018,3,0.6380696889999999
8/17/2018,4,0.634477906
8/17/2018,5,0.60675787
8/17/2018,6,0.361952909
8/17/2018,7,0.377002105
8/17/2018,8,0.298980602
8/17/2018,9,0.296664413
8/17/2018,10,0.131172626
8/17/2018,11,0.62083837
8/17/2018,22,0.63986266
8/17/2018,23,0.006781827
8/17/2018,24,0.076363633
8/18/2018,12,0.126805399
8/18/2018,13,0.492550194
8/18/2018,14,0.976526875
8/18/2018,15,0.960390874
8/18/2018,16,0.046104556
8/18/2018,17,0.150698001
8/18/2018,18,0.158605654
8/18/2018,19,0.5596610479999999
8/18/2018,20,0.75242429
8/18/2018,21,0.8863348109999999
8/18/2018,1,0.061958215999999997
8/18/2018,2,-0.088041837
8/18/2018,3,0.036924005
8/18/2018,4,0.036321619
8/18/2018,5,0.084381201
8/18/2018,6,0.17703382
8/18/2018,7,0.082242345
8/18/2018,8,0.291380563
8/18/2018,9,0.36624005200000004
8/18/2018,10,-0.24174316399999998
8/18/2018,11,0.952512505
8/18/2018,22,0.964577468
8/18/2018,23,0.6862778970000001
8/18/2018,24,-0.030530981000000002
8/19/2018,12,-0.490516206
8/19/2018,13,-0.5338226620000001
8/19/2018,14,-0.357612066
8/19/2018,15,-0.9268051709999999
8/19/2018,16,-0.7898325509999999
8/19/2018,17,-1.134620426
8/19/2018,18,-1.284415867
8/19/2018,19,-0.94369179
8/19/2018,20,-0.15891862
8/19/2018,21,0.129766813
8/19/2018,1,-0.432586542
8/19/2018,2,-1.124935644
